PotentiometerSensorStructure_Encoding_DefaultXml,5043,Object
PotentiometerSensorStructure_Encoding_DefaultJson,5044,Object
VoltageSensorStructure_Encoding_DefaultBinary,5045,Object
VoltageSensorStructure_Encoding_DefaultXml,5046,Object
VoltageSensorStructure_Encoding_DefaultJson,5047,Object
PeriodicalSignalStructure_Encoding_DefaultXml,5048,Object
PeriodicalSignalStructure_Encoding_DefaultJson,5049,Object
ShuntStructure_Encoding_DefaultBinary,5050,Object
ShuntStructure_Encoding_DefaultXml,5051,Object
ShuntStructure_Encoding_DefaultJson,5052,Object
IEPESensorStructure_Encoding_DefaultBinary,5053,Object
IEPESensorStructure_Encoding_DefaultXml,5054,Object
IEPESensorStructure_Encoding_DefaultJson,5055,Object
FullBridgeSensorStructure_Encoding_DefaultBinary,5056,Object
FullBridgeSensorStructure_Encoding_DefaultXml,5057,Object
FullBridgeSensorStructure_Encoding_DefaultJson,5058,Object
HalfBridgeSensorStructure_Encoding_DefaultBinary,5059,Object
HalfBridgeSensorStructure_Encoding_DefaultXml,5060,Object
HalfBridgeSensorStructure_Encoding_DefaultJson,5061,Object
QuarterBridgeSensorStructure_Encoding_DefaultBinary,5062,Object
QuarterBridgeSensorStructure_Encoding_DefaultXml,5063,Object
QuarterBridgeSensorStructure_Encoding_DefaultJson,5064,Object
GaugeScalingStructure_Encoding_DefaultBinary,5065,Object
GaugeScalingStructure_Encoding_DefaultXml,5066,Object
GaugeScalingStructure_Encoding_DefaultJson,5067,Object
GainScalingStructure_Encoding_DefaultBinary,5068,Object
GainScalingStructure_Encoding_DefaultXml,5069,Object
GainScalingStructure_Encoding_DefaultJson,5070,Object
PolynomialScalingStructure_Encoding_DefaultBinary,5071,Object
PolynomialScalingStructure_Encoding_DefaultXml,5072,Object
PolynomialScalingStructure_Encoding_DefaultJson,5073,Object
LinearTableScalingStructure_Encoding_DefaultBinary,5074,Object
LinearTableScalingStructure_Encoding_DefaultXml,5075,Object
LinearTableScalingStructure_Encoding_DefaultJson,5076,Object
HbkDeviceType_MethodSet,5077,Object
HbkAnalogOutputChannel_Adjustment_Cmr,5078,Object
HbkAnalogOutputChannel_Adjustment_DynX,5079,Object
FanComponentType_Control_Setup_Debug,5080,Object
FanComponentType_Control_State,5081,Object
HbkDeviceType_SystemService,5082,Object
